ISIN,coupon,issue date,maturity date,price jan 10,price jan 11,price jan 12,price jan 13,price jan 14,price jan 17,price jan 18,price jan 19,price jan 20,price jan 21
CA135087L286,0.25%,5/4/2020,2022/8/1,99.8,99.79,99.78,99.7,99.7,99.68,99.65,99.62,99.63,99.65
CA135087L773,0.25%,10/26/2020,2023/2/1,98.81,98.81,98.79,99.28,99.28,99.23,99.17,99.13,99.14,99.18
CA135087M359,0.25%,5/14/2021,2023/8/1,98.81,99.07,99.05,98.69,98.7,98.62,98.54,98.45,98.46,98.5
CA135087J546,"2.2500%	",10/5/2018,2024/3/1,101.82,101.8,101.77,102.24,102.24,102.12,101.98,101.88,101.91,101.96
CA135087J967,"1.5000%	",4/5/2019,2024/9/1,100.56,100.63,100.18,100.66,100.66,100.48,100.37,100.25,100.25,100.27
CA135087K528,1.25%,10/11/2019,2025/3/1,99.64,99.67,99.61,100.39,100.39,100.39,100.39,100.39,100.39,100.39
CA135087K940,0.50%,4/3/2020,2025/9/1,96.81,96.72,96.77,96.69,96.74,96.58,96.38,96.07,96.14,96.23
CA135087L518,0.25%,10/9/2020,2026/3/1,95.11,95.17,95.12,95.08,95.16,94.93,94.75,94.41,94.45,94.6
CA135087L930,1%,4/16/2021,2026/9/1,97.66,97.7,97.67,97.54,97.64,97.38,97.17,96.79,96.83,97
CA135087M847,1.25%,10/15/2021,2027/3/1,97.91,97.98,97.9,98.35,98.42,98.1,97.87,97.58,97.73,97.96
